ISIN;LABEL;INST_NUM;CLASSE ACTIF;GEO;SECTEUR;QUOTE;QUOTE_DATE
FR0000073272;SAFRAN PROV.ECHANGE;301109;ACT;ZONE EURO;INDUSTRIELLES ET BIENS D'EQUIPEMENT;86.7;19/03/2018
FR0000120073;AIR LIQUIDE;261572;ACT;ZONE EURO;PRODUITS DE BASE;100.25;19/03/2018
FR0000121014;LVMH MOET HENNESSY VUITTON;261607;ACT;ZONE EURO;CONSOMMATION CYCLIQUE;246;19/03/2018
FR0000121667;ESSILOR INTERNATIONAL;261634;ACT;ZONE EURO;SANTE;110.1;19/03/2018
FR0000053951;AIR LIQUIDE PRIME DE FIDELITE;262504;ACT;ZONE EURO;PRODUITS DE BASE;101.65;16/03/2018
FR0000988503;SG ACTIONS LUXE;2995604;ACT;DIVERSIFICATION;CONSOMMATION CYCLIQUE;470.99;19/03/2018
FR0013295268;OREAL PRIME DE FIDELITE 2020;5623571;ACT;ZONE EURO;CONSOMMATION NON CYCLIQUE;180.05;16/03/2018
FR0010551424;DARWIN DIVERSIFIE 60-80 - C;2995676;ACT;ZONE EURO;OPCVM ET DIVERS;107.53;19/03/2018
FR0011192285;SG TRESORERIE 6 MOIS - P;3528207;OBL;ZONE EURO;OPCVM ET DIVERS;100.44;19/03/2018
DE0007500001;THYSSENKRUPP;278724;ACT;ZONE EURO;PRODUITS DE BASE;21.85;16/03/2018
FR0000120644;DANONE;261593;ACT;ZONE EURO;CONSOMMATION NON CYCLIQUE;66.24;19/03/2018
FR0000133308;ORANGE;262658;ACT;ZONE EURO;OPERATEURS TELECOM;13.95;19/03/2018
FR0010289033;SG VALOR ALPHA ACTIONS FRANCE;2871801;ACT;ZONE EURO;OPCVM ET DIVERS;116.89;19/03/2018
FR0010287664;SG ACTIONS FRANCE LARGECAP (C);2957555;ACT;ZONE EURO;OPCVM ET DIVERS;841.17;19/03/2018
FR0010431015;SG ACTIONS FRANCE SELECTION;2887118;ACT;ZONE EURO;OPCVM ET DIVERS;52.88;19/03/2018
FR0011362094;SG MONETAIRE PLUS - P;3850714;MON;ZONE EURO;OPCVM ET DIVERS;99.5868;20/03/2018
FR0010371773;INNOVATION TECHNOLOGIES PART A;3048558;ACT;ZONE EURO;OPCVM ET DIVERS;1;01/09/2010
FR0007010657;SG LIQUIDITE PEA;592641;MON;ZONE EURO;OPCVM ET DIVERS;15977.3;19/03/2018
FR0000120271;TOTAL;261577;ACT;ZONE EURO;ENERGIE;46.195;19/03/2018
NL0012757405;ROYAL DUTCH SHELL RIGHTS DS18;5689849;ACT;ZONE EURO;ENERGIE;0.01;23/02/2018
FR0000120628;AXA;261592;ACT;ZONE EURO;FINANCIERES;22.33;19/03/2018
FR0000121972;SCHNEIDER ELECTRIC SE;261649;ACT;ZONE EURO;INDUSTRIELLES ET BIENS D'EQUIPEMENT;71.46;19/03/2018
FR0000125007;SAINT-GOBAIN(CIE);261659;ACT;ZONE EURO;INDUSTRIELLES ET BIENS D'EQUIPEMENT;45.815;19/03/2018
FR0010260000;SG ACTIONS MONDE;1516471;ACT;DIVERSIFICATION;OPCVM ET DIVERS;69.81;19/03/2018
FR0010284521;SG ACT EUROPE RESTRUCTURATIONS;2872485;ACT;EUROPE HORS ZONE EURO;OPCVM ET DIVERS;84.31;19/03/2018
FR0000031122;AIR FRANCE-KLM;261894;ACT;ZONE EURO;CONSOMMATION CYCLIQUE;9.414;16/03/2018
FR0011269620;SG OBLIG ETAT EURO - R;3661210;OBL;ZONE EURO;OPCVM ET DIVERS;131.92;19/03/2018
FR0010259994;SG ACTIONS FRANCE;2995660;ACT;ZONE EURO;OPCVM ET DIVERS;721.08;19/03/2018
FR0013215472;AIR LIQUIDE PRIME FIDEL.2019;5220907;ACT;ZONE EURO;PRODUITS DE BASE;101.65;16/03/2018
999999999999;SOLDE ESPECES;;;;;1;01/01/10
LU1681046931;AM.CAC 40 UCITS ETF DR EUR C;5601836;ACT;EUROPE HORS ZONE EURO;OPCVM ET DIVERS;73.2475;16/03/2018
FR0010259986;SG ACTIONS EUROPE;2995659;ACT;EUROPE HORS ZONE EURO;OPCVM ET DIVERS;265.84;19/03/2018
FR0000125338;CAPGEMINI;261665;ACT;ZONE EURO;TECHNOLOGIES DE L'INFORMATION;104.3;19/03/2018
FR0000131104;BNP PARIBAS;262141;ACT;ZONE EURO;FINANCIERES;61.73;19/03/2018
FR0000443343;SG OBLIG HIGH YIELD;546011;OBL;ZONE EURO;OPCVM ET DIVERS;1953.1;19/03/2018
FR0007468830;SG FLEXIBLE PART P (C);2995517;OBL;DIVERSIFICATION;OPCVM ET DIVERS;1756.82;19/03/2018
FR0011047513;SG MONETAIRE PLUS - E;3303493;MON;ZONE EURO;OPCVM ET DIVERS;10132.9829;20/03/2018
FR0000052292;HERMES INTERNATIONAL;262076;ACT;ZONE EURO;CONSOMMATION CYCLIQUE;451.7;16/03/2018
FR0000120321;OREAL(L');261579;ACT;ZONE EURO;CONSOMMATION NON CYCLIQUE;181.1;19/03/2018
FR0000120578;SANOFI;287705;ACT;ZONE EURO;SANTE;66.17;19/03/2018
FR0000124141;VEOLIA ENVIRONNEMENT;380744;ACT;ZONE EURO;SERVICES AUX COLLECTIVITES;19.22;19/03/2018
FR0000125486;VINCI;261823;ACT;ZONE EURO;INDUSTRIELLES ET BIENS D'EQUIPEMENT;80.64;19/03/2018
FR0000131906;RENAULT;262323;ACT;ZONE EURO;CONSOMMATION CYCLIQUE;94.49;19/03/2018
FR0010278408;SG ACTIONS JAPON;2872397;ACT;JAPON;OPCVM ET DIVERS;121.43;20/03/2018
FR0010478248;ATARI REGPT;2425420;ACT;ZONE EURO;TECHNOLOGIES DE L'INFORMATION;0.755;16/03/2018
FR0007052782;LYX.CAC 40(DR)UC.ETF D-EUR FCP;480339;ACT;ZONE EURO;OPCVM ET DIVERS;51.8141;16/03/2018
FR0010311993;SG ACTIONS EUROPE SELECTION;2872483;ACT;EUROPE HORS ZONE EURO;OPCVM ET DIVERS;50.78;19/03/2018
FR0010346742;SG ACTIONS EUROPE MULTIGESTION;2995654;ACT;EUROPE HORS ZONE EURO;OPCVM ET DIVERS;122.67;19/03/2018
QS0002700423;GENEPIERRE;3422654;ACT;ZONE EURO;OPCVM ET DIVERS;266.5;31/12/2014
DE0007164600;SAP;261842;ACT;ZONE EURO;TECHNOLOGIES DE L'INFORMATION;87.35;16/03/2018
FR0000045072;CREDIT AGRICOLE;478516;ACT;ZONE EURO;FINANCIERES;13.615;19/03/2018
FR0013176526;VALEO DIVISION;5015439;ACT;;;54.58;19/03/2018
FR0010397125;SG ACTIONS EURO SELECTION;2871803;ACT;;;51.48;19/03/2018
FR0010929869;SG ACTIONS MONDE EMERGENT;3064647;ACT;;;123.78;19/03/2018
FR0000121337;DMC(DOLLFUS MIEG ET COMPAGNIE);261622;ACT;;;0.01;02/10/2012
