PTF_ID;ISIN;LABEL;QUANTITY;AMOUNT;DATE_COMPTABLE
20598;FR0000121485;KERING;12;4650;20/03/2018
20598;NL0000235190;AIRBUS SE;117;11282.31;20/03/2018
20598;FR0000125007;SAINT-GOBAIN(CIE);174;7970.94;20/03/2018
20598;FR0000121014;LVMH MOET HENNESSY VUITTON;56;14086.8;20/03/2018
20598;FR0010307819;LEGRAND;72;4674.24;20/03/2018
20598;FR0000130809;SOCIETE GENERALE;141;6409.86;20/03/2018
20598;FR0010289033;SG VALOR ALPHA ACTIONS FRANCE;22;2571.58;20/03/2018
20598;FR0013176526;VALEO DIVISION;72;3980.16;20/03/2018
20598;FR0000120644;DANONE;82;5467.76;20/03/2018
20598;999999999999;SOLDE ESPECES;7175.69;7175.69;20/03/2018
20598;LU0568607203;AMUNDI FD EQ EURO SMALL CAP AE;53.363;10901.52727;20/03/2018
20598;FR0000120628;AXA;511;11477.06;20/03/2018
20598;FR0000120271;TOTAL;425;19649.875;20/03/2018
20598;FR0000125486;VINCI;63;5091.66;20/03/2018
20598;FR0000120073;AIR LIQUIDE;100;10070;20/03/2018
20598;FR0000120578;SANOFI;200;13160;20/03/2018
20598;FR0000052292;HERMES INTERNATIONAL;9;4077;20/03/2018
20598;FR0000124141;VEOLIA ENVIRONNEMENT;194;3669.51;20/03/2018
20598;FR0000073272;SAFRAN PROV.ECHANGE;50;4390;20/03/2018
20598;FR0000120321;OREAL(L');40;7266;20/03/2018
20598;FR0000045072;CREDIT AGRICOLE;556;7606.08;20/03/2018
20598;FR0000133308;ORANGE;361;5019.705;20/03/2018
20598;DE0007500001;THYSSENKRUPP;164;3573.56;20/03/2018
20598;FR0000125338;CAPGEMINI;47;4906.8;20/03/2018
20598;DE0007164600;SAP;49;4184.6;20/03/2018
20598;FR0000131906;RENAULT;55;5238.2;20/03/2018
20598;FR0013321452;TOTAL DIVID.OPTIONNEL 0318;425;0;20/03/2018
20598;FR0000121972;SCHNEIDER ELECTRIC SE;94;6835.68;20/03/2018
20598;FR0000131104;BNP PARIBAS;259;15954.4;20/03/2018
20598;FR0000121667;ESSILOR INTERNATIONAL;40;4422;20/03/2018
20598;NL0000226223;STMICROELECTRONICS;183;3642.615;20/03/2018
20599;NL0000235190;AIRBUS SE;124;11957.32;20/03/2018
20599;NL0000226223;STMICROELECTRONICS;194;3861.57;20/03/2018
20599;FR0010478248;ATARI REGPT;2;1.56;20/03/2018
20599;FR0010307819;LEGRAND;77;4998.84;20/03/2018
20599;FR0013176526;VALEO DIVISION;75;4146;20/03/2018
20599;999999999999;SOLDE ESPECES;7168.67;7168.67;20/03/2018
20599;FR0000120321;OREAL(L');43;7810.95;20/03/2018
20599;FR0000120271;TOTAL;453;20944.455;20/03/2018
20599;FR0000120073;AIR LIQUIDE;108;10875.6;20/03/2018
20599;FR0000052292;HERMES INTERNATIONAL;9;4077;20/03/2018
20599;FR0000073272;SAFRAN PROV.ECHANGE;53;4653.4;20/03/2018
20599;FR0000045072;CREDIT AGRICOLE;595;8139.6;20/03/2018
20599;DE0007500001;THYSSENKRUPP;174;3791.46;20/03/2018
20599;DE0007164600;SAP;52;4440.8;20/03/2018
20599;FR0000124141;VEOLIA ENVIRONNEMENT;206;3896.49;20/03/2018
20599;FR0000121972;SCHNEIDER ELECTRIC SE;99;7199.28;20/03/2018
20599;FR0000121485;KERING;13;5037.5;20/03/2018
20599;FR0000121014;LVMH MOET HENNESSY VUITTON;60;15093;20/03/2018
20599;FR0000120644;DANONE;87;5801.16;20/03/2018
20599;FR0000120628;AXA;535;12016.1;20/03/2018
20599;FR0000120578;SANOFI;213;14015.4;20/03/2018
20599;FR0000133308;ORANGE;383;5325.615;20/03/2018
20599;FR0000131906;RENAULT;59;5619.16;20/03/2018
20599;FR0000131104;BNP PARIBAS;275;16940;20/03/2018
20599;FR0000130809;SOCIETE GENERALE;150;6819;20/03/2018
20599;FR0000125486;VINCI;67;5414.94;20/03/2018
20599;FR0000125338;CAPGEMINI;50;5220;20/03/2018
20599;FR0000125007;SAINT-GOBAIN(CIE);184;8429.04;20/03/2018
20599;FR0013321452;TOTAL DIVID.OPTIONNEL 0318;453;0;20/03/2018
20599;LU0568607203;AMUNDI FD EQ EURO SMALL CAP AE;56.628;11568.53412;20/03/2018
20599;FR0000121667;ESSILOR INTERNATIONAL;43;4753.65;20/03/2018
20603;FR0010307819;LEGRAND;31;2012.52;20/03/2018
20603;NL0000226223;STMICROELECTRONICS;79;1572.495;20/03/2018
20603;NL0000235190;AIRBUS SE;51;4917.93;20/03/2018
20603;LU0568607203;AMUNDI FD EQ EURO SMALL CAP AE;23.071;4713.17459;20/03/2018
20603;FR0013321452;TOTAL DIVID.OPTIONNEL 0318;182;0;20/03/2018
20603;FR0000125007;SAINT-GOBAIN(CIE);75;3435.75;20/03/2018
20603;FR0000125338;CAPGEMINI;20;2088;20/03/2018
20603;FR0000125486;VINCI;28;2262.96;20/03/2018
20603;FR0000130809;SOCIETE GENERALE;62;2818.52;20/03/2018
20603;FR0000131104;BNP PARIBAS;112;6899.2;20/03/2018
20603;FR0000131906;RENAULT;24;2285.76;20/03/2018
20603;FR0000133308;ORANGE;156;2169.18;20/03/2018
20603;FR0000120578;SANOFI;86;5658.8;20/03/2018
20603;FR0000120628;AXA;221;4963.66;20/03/2018
20603;FR0000120644;DANONE;34;2267.12;20/03/2018
20603;FR0000121014;LVMH MOET HENNESSY VUITTON;25;6288.75;20/03/2018
20603;FR0000121485;KERING;5;1937.5;20/03/2018
20603;FR0000121667;ESSILOR INTERNATIONAL;18;1989.9;20/03/2018
20603;FR0000121972;SCHNEIDER ELECTRIC SE;41;2981.52;20/03/2018
20603;FR0000124141;VEOLIA ENVIRONNEMENT;85;1607.775;20/03/2018
20603;DE0007164600;SAP;21;1793.4;20/03/2018
20603;DE0007500001;THYSSENKRUPP;70;1525.3;20/03/2018
20603;FR0000045072;CREDIT AGRICOLE;243;3324.24;20/03/2018
20603;FR0000073272;SAFRAN PROV.ECHANGE;21;1843.8;20/03/2018
20603;FR0000052292;HERMES INTERNATIONAL;4;1812;20/03/2018
20603;FR0000120073;AIR LIQUIDE;42;4229.4;20/03/2018
20603;FR0000120271;TOTAL;182;8414.77;20/03/2018
20603;FR0000120321;OREAL(L');18;3269.7;20/03/2018
20603;999999999999;SOLDE ESPECES;2843.03;2843.03;20/03/2018
20603;FR0013176526;VALEO DIVISION;30;1658.4;20/03/2018
20603;FR0010289033;SG VALOR ALPHA ACTIONS FRANCE;41;4792.49;20/03/2018
20604;FR0000988503;SG ACTIONS LUXE;12.874;6063.52526;20/03/2018
20604;FR0010284521;SG ACT EUROPE RESTRUCTURATIONS;23.925;2017.11675;20/03/2018
20604;FR0010260000;SG ACTIONS MONDE;35.71;2492.9151;20/03/2018
20604;FR0010278408;SG ACTIONS JAPON;18.58;2256.1694;20/03/2018
20604;FR0010407247;SG ACTIONS US;114.247;22586.6319;20/03/2018
20604;FR0011362094;SG MONETAIRE PLUS - P;16.6356;1656.68617;20/03/2018
20604;999999999999;SOLDE ESPECES;1270.23;1270.23;20/03/2018
20604;FR0010397125;SG ACTIONS EURO SELECTION;19.053;980.84844;20/03/2018
20604;FR0010929869;SG ACTIONS MONDE EMERGENT;70.76;8758.6728;20/03/2018
20604;FR0010289033;SG VALOR ALPHA ACTIONS FRANCE;467.39;54633.2171;20/03/2018
20605;FR0000131906;RENAULT;26;2476.24;20/03/2018
20605;FR0000133308;ORANGE;166;2308.23;20/03/2018
20605;FR0000120578;SANOFI;92;6053.6;20/03/2018
20605;FR0000120628;AXA;234;5255.64;20/03/2018
20605;FR0000120644;DANONE;36;2400.48;20/03/2018
20605;FR0000121014;LVMH MOET HENNESSY VUITTON;26;6540.3;20/03/2018
20605;FR0000121485;KERING;5;1937.5;20/03/2018
20605;FR0000121972;SCHNEIDER ELECTRIC SE;43;3126.96;20/03/2018
20605;FR0000124141;VEOLIA ENVIRONNEMENT;91;1721.265;20/03/2018
20605;DE0007164600;SAP;22;1878.8;20/03/2018
20605;DE0007500001;THYSSENKRUPP;75;1634.25;20/03/2018
20605;FR0000045072;CREDIT AGRICOLE;257;3515.76;20/03/2018
20605;FR0000073272;SAFRAN PROV.ECHANGE;23;2019.4;20/03/2018
20605;FR0000052292;HERMES INTERNATIONAL;4;1812;20/03/2018
20605;FR0000120073;AIR LIQUIDE;46;4632.2;20/03/2018
20605;FR0000120271;TOTAL;192;8877.12;20/03/2018
20605;FR0000120321;OREAL(L');19;3451.35;20/03/2018
20605;999999999999;SOLDE ESPECES;3056.24;3056.24;20/03/2018
20605;FR0013176526;VALEO DIVISION;33;1824.24;20/03/2018
20605;FR0010289033;SG VALOR ALPHA ACTIONS FRANCE;47.5;5552.275;20/03/2018
20605;FR0000131104;BNP PARIBAS;119;7330.4;20/03/2018
20605;FR0000130809;SOCIETE GENERALE;65;2954.9;20/03/2018
20605;FR0000125486;VINCI;29;2343.78;20/03/2018
20605;FR0000125338;CAPGEMINI;22;2296.8;20/03/2018
20605;FR0000125007;SAINT-GOBAIN(CIE);79;3618.99;20/03/2018
20605;FR0013321452;TOTAL DIVID.OPTIONNEL 0318;192;0;20/03/2018
20605;LU0568607203;AMUNDI FD EQ EURO SMALL CAP AE;24.464;4997.75056;20/03/2018
20605;NL0000235190;AIRBUS SE;54;5207.22;20/03/2018
20605;NL0000226223;STMICROELECTRONICS;84;1672.02;20/03/2018
20605;FR0010307819;LEGRAND;33;2142.36;20/03/2018
20605;FR0000121667;ESSILOR INTERNATIONAL;19;2100.45;20/03/2018
20606;LU0568607203;AMUNDI FD EQ EURO SMALL CAP AE;19.235;3929.51815;20/03/2018
20606;FR0013321452;TOTAL DIVID.OPTIONNEL 0318;153;0;20/03/2018
20606;FR0000125007;SAINT-GOBAIN(CIE);63;2886.03;20/03/2018
20606;FR0000125338;CAPGEMINI;17;1774.8;20/03/2018
20606;FR0000125486;VINCI;23;1858.86;20/03/2018
20606;FR0000130809;SOCIETE GENERALE;52;2363.92;20/03/2018
20606;FR0000131104;BNP PARIBAS;93;5728.8;20/03/2018
20606;FR0000131906;RENAULT;20;1904.8;20/03/2018
20606;FR0000133308;ORANGE;131;1821.555;20/03/2018
20606;FR0000120578;SANOFI;72;4737.6;20/03/2018
20606;FR0000120628;AXA;184;4132.64;20/03/2018
20606;FR0000120644;DANONE;29;1933.72;20/03/2018
20606;FR0000121014;LVMH MOET HENNESSY VUITTON;21;5282.55;20/03/2018
20606;FR0000121485;KERING;4;1550;20/03/2018
20606;FR0000121667;ESSILOR INTERNATIONAL;15;1658.25;20/03/2018
20606;FR0000121972;SCHNEIDER ELECTRIC SE;34;2472.48;20/03/2018
20606;FR0000124141;VEOLIA ENVIRONNEMENT;71;1342.965;20/03/2018
20606;DE0007164600;SAP;17;1451.8;20/03/2018
20606;DE0007500001;THYSSENKRUPP;59;1285.61;20/03/2018
20606;FR0000045072;CREDIT AGRICOLE;204;2790.72;20/03/2018
20606;FR0000073272;SAFRAN PROV.ECHANGE;18;1580.4;20/03/2018
20606;FR0000052292;HERMES INTERNATIONAL;3;1359;20/03/2018
20606;FR0000120073;AIR LIQUIDE;35;3524.5;20/03/2018
20606;FR0000120271;TOTAL;153;7073.955;20/03/2018
20606;FR0000120321;OREAL(L');15;2724.75;20/03/2018
20606;999999999999;SOLDE ESPECES;2365.53;2365.53;20/03/2018
20606;FR0013176526;VALEO DIVISION;24;1326.72;20/03/2018
20606;FR0010289033;SG VALOR ALPHA ACTIONS FRANCE;38;4441.82;20/03/2018
20606;FR0010307819;LEGRAND;26;1687.92;20/03/2018
20606;NL0000226223;STMICROELECTRONICS;66;1313.73;20/03/2018
20606;NL0000235190;AIRBUS SE;43;4146.49;20/03/2018
20607;LU0907331507;AMUNDI FD BD EUR H.YLD SH TERM;19.415;2086.91835;20/03/2018
20607;NL0012757405;ROYAL DUTCH SHELL RIGHTS DS18;288;0;20/03/2018
20607;FR0013321452;TOTAL DIVID.OPTIONNEL 0318;66;0;20/03/2018
20607;FR0000443343;SG OBLIG HIGH YIELD;1.41416;2761.995896;20/03/2018
20607;FR0000988503;SG ACTIONS LUXE;1.625;765.35875;20/03/2018
20607;FR0011269620;SG OBLIG ETAT EURO - R;229.81;30316.5352;20/03/2018
20607;LU1328849358;AMUNDI FD BD TOT. HYBRID AE C;81.819;9550.73187;20/03/2018
20607;FR0010929869;SG ACTIONS MONDE EMERGENT;11.027;1364.92206;20/03/2018
20607;999999999999;SOLDE ESPECES;606.84;606.84;20/03/2018
20607;FR0011362094;SG MONETAIRE PLUS - P;184.0614;18330.08583;20/03/2018
20607;FR0007468830;SG FLEXIBLE PART P (C);9.85669;17316.43013;20/03/2018
20607;FR0010278408;SG ACTIONS JAPON;3.745;454.75535;20/03/2018
20607;FR0010284521;SG ACT EUROPE RESTRUCTURATIONS;7.938;669.25278;20/03/2018
20607;FR0010289033;SG VALOR ALPHA ACTIONS FRANCE;75.92;8874.2888;20/03/2018
20607;FR0010407247;SG ACTIONS US;15.01;2967.477;20/03/2018
